kind	name	rust_symbol	rust_test	evidence	status
function	fdb_tsl_clean	fdb_tsl_clean	c_test_fdb_tsl_clean_first_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_tsl_iter	fdb_tsl_iter	c_test_fdb_tsl_iter_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_tsl_iter_by_time	fdb_tsl_iter_by_time	c_test_fdb_tsl_iter_by_time_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_tsl_iter_reverse	fdb_tsl_iter_reverse	test_fdb_tsl_iter_reverse	reports/evidence/api-c-link.json	PASS
function	fdb_tsl_max_blob_count	fdb_tsl_max_blob_count	test_fdb_tsl_max_blob_count	reports/evidence/api-c-link.json	PASS
function	fdb_tsl_query_count	fdb_tsl_query_count	c_test_fdb_tsl_query_count_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_tsl_set_status	fdb_tsl_set_status	c_test_fdb_tsl_set_status_acceptance	reports/evidence/api-c-link.json	PASS
function	fdb_tsl_to_blob	fdb_tsl_to_blob	c_test_fdb_tsl_iter_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_KVDB_CTRL_GET_SEC_SIZE	FDB_KVDB_CTRL_GET_SEC_SIZE	c_test_fdb_kvdb_init_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_KVDB_CTRL_SET_FILE_MODE	FDB_KVDB_CTRL_SET_FILE_MODE	c_test_fdb_kvdb_init_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_KVDB_CTRL_SET_LOCK	FDB_KVDB_CTRL_SET_LOCK	c_test_fdb_kvdb_init_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_KVDB_CTRL_SET_MAX_SIZE	FDB_KVDB_CTRL_SET_MAX_SIZE	c_test_fdb_scale_up_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_KVDB_CTRL_SET_NOT_FORMAT	FDB_KVDB_CTRL_SET_NOT_FORMAT	c_test_fdb_kvdb_init_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_KVDB_CTRL_SET_SEC_SIZE	FDB_KVDB_CTRL_SET_SEC_SIZE	c_test_fdb_kvdb_init_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_KVDB_CTRL_SET_UNLOCK	FDB_KVDB_CTRL_SET_UNLOCK	c_test_fdb_kvdb_init_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_TSDB_CTRL_GET_LAST_TIME	FDB_TSDB_CTRL_GET_LAST_TIME	c_test_fdb_tsl_append_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_TSDB_CTRL_GET_ROLLOVER	FDB_TSDB_CTRL_GET_ROLLOVER	c_test_fdb_tsdb_init_ex_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_TSDB_CTRL_GET_SEC_SIZE	FDB_TSDB_CTRL_GET_SEC_SIZE	c_test_fdb_tsdb_init_ex_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_TSDB_CTRL_SET_FILE_MODE	FDB_TSDB_CTRL_SET_FILE_MODE	c_test_fdb_tsdb_init_ex_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_TSDB_CTRL_SET_LOCK	FDB_TSDB_CTRL_SET_LOCK	c_test_fdb_tsdb_init_ex_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_TSDB_CTRL_SET_MAX_SIZE	FDB_TSDB_CTRL_SET_MAX_SIZE	c_test_fdb_tsdb_init_ex_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_TSDB_CTRL_SET_NOT_FORMAT	FDB_TSDB_CTRL_SET_NOT_FORMAT	c_test_fdb_github_issue_249_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_TSDB_CTRL_SET_ROLLOVER	FDB_TSDB_CTRL_SET_ROLLOVER	c_test_fdb_tsdb_init_ex_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_TSDB_CTRL_SET_SEC_SIZE	FDB_TSDB_CTRL_SET_SEC_SIZE	c_test_fdb_tsdb_init_ex_acceptance	reports/evidence/api-c-link.json	PASS
control	FDB_TSDB_CTRL_SET_UNLOCK	FDB_TSDB_CTRL_SET_UNLOCK	c_test_fdb_tsdb_init_ex_acceptance	reports/evidence/api-c-link.json	PASS
